Timestamp,How do you identify?,What is your twitter handle?,The US should open its borders to all immigrants.,Free trade is a net good.,The welfare state should abolish poverty for ALL people regardless of their labor status.,The welfare state should be primarily cash based. I.e UBI.,Welfare programs should avoid means-testing in favor of universal benefits.,The government should provide a national health insurance program where all services are free or very inexpensive.,The best way to fight climate change is with a carbon tax.,"Local governments should shift money away from policing and towards other initiatives such as mental health, social services, and education.",The United States should reduce its military budget.,Zoning laws are bad and should be abolished wherever possible.,The US debt is a real concern.,There should NOT be a limit on the amount of charter schools that can exist.,Occupational licensing is bad and should be abolished wherever possible.,The US Congress should be replaced with a proportionally representative legislative body.,"All private spending in elections should be abolished and replaced by publicly funded ""democracy dollars"" given to every eligible voter.",The minimum wage should be increased to $15 per hour.,"Overall, unions are good and policymakers should work to expand membership.",The US should implement a land value tax that fully captures the rents of land ownership.,Taxes should generally be flat and broad-based.,The United States government should provide cash reparations to Black and Native Americans.,Drug use should be legalized.,The US should place trade sanctions on nations who consistently violate human rights.,Public undergraduate college should be free.,The US should substantially increase foreign aid.,The US should abolish the modern prison system and replace it with a new consequence system.,Joe Biden,Elizabeth Warren,Bernie Sanders,AOC,Stacey Abrams,Pete Buttigeig,Mitt Romney,George W. Bush,Andrew Yang,Nikki Haley
6/25/2021 15:53:24,Sock,@ngpsu22,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,2,2,5,5,5,5,1,5,5,5,3,4,4,4,4,2,1,1,2,1
6/25/2021 21:45:34,Sock,QueenSorviaV,5,4,5,3,4,4,3,4,3,4,3,2,4,4,4,4,5,5,3,2,4,3,3,4,4,4,4,4,4,4,4,1,1,3,1
6/25/2021 21:47:00,Globe,nominalthoughts,5,5,4,5,4,1,5,3,1,5,5,4,4,1,1,1,3,5,3,1,5,2,1,5,3,5,2,2,1,4,5,4,3,2,2
6/25/2021 21:47:10,Globe,TomJackSpencer / LondonNeolibs,5,5,3,5,4,2,5,1,4,5,2,5,5,4,1,2,2,4,4,2,5,2,2,5,2,3,2,2,2,2,4,4,4,3,4
6/25/2021 21:48:09,Globe,@joshua_z_miller,5,5,4,5,4,2,4,1,1,5,1,5,5,5,1,4,3,5,4,2,5,1,5,1,5,5,2,1,1,5,5,3,1,5,1
6/25/2021 21:48:12,Globe,Dgold114,5,5,5,4,3,3,3,2,5,5,2,4,5,5,3,3,4,5,2,3,5,1,2,5,1,4,4,3,2,5,5,2,1,4,2
6/25/2021 21:48:22,Globe,@wyman856,5,5,3,5,3,3,4,1,4,5,4,5,5,3,1,1,2,3,4,4,5,5,1,5,3,4,2,1,2,3,4,4,3,3,4
6/25/2021 21:48:23,Globe,ahardtospell,4,5,3,5,3,2,5,3,1,5,3,5,5,1,1,1,2,3,5,1,5,5,2,5,1,3,1,1,2,1,4,5,4,3,3
6/25/2021 21:48:33,Sock,samdman95,5,4,5,2,4,4,5,4,4,5,2,3,3,4,3,4,4,5,2,4,5,4,2,4,3,5,5,5,5,5,5,2,1,3,1
6/25/2021 21:49:07,Globe,Nice try fed,5,4,5,3,2,5,3,4,4,4,4,2,1,5,5,2,5,2,1,2,5,5,4,4,5,5,5,2,3,5,4,2,1,4,1
6/25/2021 21:49:14,Globe,@PIHillBelichick,4,5,3,5,3,4,5,2,1,4,3,3,3,5,3,3,4,5,3,3,4,2,4,5,2,5,4,3,1,5,4,2,1,4,1
6/25/2021 21:49:33,Globe,@candiedwishkey,5,5,5,5,3,3,5,3,3,5,4,3,5,2,2,1,2,4,2,4,5,5,1,4,4,5,3,1,2,5,4,2,1,1,1
6/25/2021 21:50:17,Globe,MeltedBrain/@CEconomicsnerd,5,5,2,3,3,5,4,4,1,4,2,3,2,5,1,2,3,4,1,1,4,5,4,5,3,4,3,2,2,3,5,2,2,3,1
6/25/2021 21:50:37,Globe,momojabang,4,5,2,1,3,4,1,4,3,5,4,3,3,3,2,3,2,2,4,2,4,4,4,3,4,5,1,1,2,3,5,4,2,4,1
6/25/2021 21:50:46,Both,vscaryspirit,5,4,4,3,2,3,5,3,4,5,4,4,4,5,4,3,4,5,2,3,4,5,2,5,4,4,3,3,3,5,5,2,1,3,1
6/25/2021 21:51:28,Globe,Globe in bio,4,4,2,3,1,1,5,2,2,5,4,5,5,5,2,1,1,3,5,2,3,5,1,5,2,3,2,1,2,4,4,5,3,4,3
6/25/2021 21:52:20,Sock,no,4,4,2,2,4,5,3,4,3,3,2,3,3,3,4,4,4,4,3,5,5,3,5,4,5,4,4,4,4,5,3,3,2,3,3
6/25/2021 21:52:22,Both,NA!,4,4,5,3,4,3,5,2,5,4,4,4,4,5,3,3,4,3,5,5,4,3,2,5,4,4,4,2,3,4,4,4,2,2,1
6/25/2021 21:52:36,Globe,Neoglobaltarian,5,5,3,3,4,2,5,3,3,5,4,5,5,3,2,2,3,3,3,3,5,4,3,4,4,4,2,2,2,3,4,3,2,3,2
6/25/2021 21:53:36,Globe,besttrousers,5,5,5,5,4,4,4,3,3,4,2,4,3,3,2,4,4,4,4,5,4,4,5,5,4,4,5,4,5,5,4,3,1,3,1
6/25/2021 21:55:06,Sock,lilbabygandhi,3,2,5,2,5,5,3,4,5,5,1,5,2,5,5,5,5,5,5,3,5,5,5,5,5,3,3,5,5,4,2,1,1,1,1
6/25/2021 21:56:05,Both,nikicaga,5,4,5,4,4,5,3,5,4,5,2,2,1,5,2,5,5,3,1,4,4,5,5,5,5,5,5,5,5,5,5,3,1,3,2
6/25/2021 21:56:52,Sock,@dashisneat,4,4,5,4,4,5,2,4,4,4,2,1,2,4,3,5,5,4,3,3,5,5,5,4,4,2,3,4,4,4,3,1,1,3,1
6/25/2021 21:57:51,Both,MG_gO_2thepolls,5,5,5,5,5,5,5,4,2,5,3,4,5,4,3,4,3,5,2,3,5,4,3,5,5,4,3,2,2,3,3,3,2,4,1
6/25/2021 21:58:10,Globe,@purpleterra,5,5,4,5,5,3,5,4,1,5,3,2,3,4,4,4,4,5,3,5,5,5,4,5,5,5,4,3,4,5,5,2,2,3,2
6/25/2021 21:58:12,Globe,@Eric_W29,5,4,3,4,4,3,4,2,3,4,4,4,3,2,3,2,4,2,2,3,4,5,4,3,2,5,4,3,2,5,4,4,2,3,1
6/25/2021 21:58:31,Sock,Neo-Feudal Hankism Enjoyer ,5,3,5,2,5,5,3,4,4,4,2,3,3,3,4,5,5,4,1,5,5,4,4,5,4,4,4,4,3,3,3,1,1,1,1
6/25/2021 21:58:51,Sock,Don’t want to disclose ,4,5,5,4,4,5,3,4,4,5,2,2,5,5,3,5,5,5,3,4,5,3,4,5,4,5,5,5,5,5,5,3,1,3,1
6/25/2021 22:05:09,Both,@awayberk,5,5,5,5,5,2,5,2,2,4,2,4,2,5,5,2,3,5,5,2,5,4,2,5,5,4,4,4,4,4,5,4,2,4,1
6/25/2021 22:07:41,Globe,@A_G_Benson,4,5,3,5,5,3,5,3,4,5,3,5,4,4,2,3,3,5,3,4,5,5,1,1,3,5,3,2,3,3,5,2,1,3,1
6/25/2021 22:07:50,Sock,@sofonisbe,5,2,5,4,5,5,4,5,5,5,1,1,2,5,5,5,5,5,2,5,5,3,5,5,5,2,4,4,5,3,3,2,1,2,1
6/25/2021 22:07:58,Sock,@felledman,3,4,5,2,4,5,2,4,4,4,2,1,4,4,4,5,5,4,3,3,3,2,4,4,2,3,4,5,4,4,2,1,1,2,1
6/25/2021 22:08:36,Sock,@bhboehlert,5,4,5,2,4,5,1,4,5,5,2,2,4,5,3,4,5,5,2,4,4,3,5,5,4,3,4,4,4,4,3,2,1,2,1
6/25/2021 22:09:00,Sock,@NicholasRodelo,3,4,5,5,5,5,4,4,3,5,2,2,2,3,1,2,3,1,3,4,5,5,4,5,4,4,4,5,4,3,2,3,1,3,1
6/25/2021 22:09:44,Georgist,@matthewdownhour,4,4,5,5,4,4,4,3,3,3,2,3,3,4,2,2,4,5,3,4,5,3,3,4,3,4,4,4,4,4,4,3,1,4,2
6/25/2021 22:10:03,Both,me,5,5,4,3,3,5,4,5,5,5,4,2,4,5,5,5,5,5,4,4,5,4,3,5,3,4,3,2,2,5,5,2,1,2,1
6/25/2021 22:10:18,Globe,Coldoorr ,4,5,1,2,1,1,4,1,1,2,4,4,4,2,4,2,2,2,2,1,3,4,2,5,1,4,2,2,2,2,4,4,4,4,2
6/25/2021 22:10:27,Globe,@podcastingfatso,1,1,3,2,3,1,1,3,1,1,3,1,1,3,4,2,3,1,2,3,1,3,4,4,2,2,1,3,4,2,1,3,4,4,5
6/25/2021 22:10:45,Globe,@HahaNiceTry,4,5,3,4,2,4,5,5,2,5,2,5,5,5,3,4,2,5,2,4,5,5,4,5,4,4,3,2,2,4,4,2,1,3,1
6/25/2021 22:11:34,Both,vanstecusmar,5,5,3,5,5,5,5,2,4,4,1,3,4,5,3,4,4,5,3,2,4,2,3,5,2,4,4,4,4,4,4,2,1,2,1
6/25/2021 22:13:35,Sock,@andrew82003233,5,5,5,5,5,3,4,3,3,5,1,3,4,5,3,5,4,4,2,3,5,4,4,4,2,4,4,5,4,4,5,2,1,3,1
6/25/2021 22:13:53,Sock,@jamesfhiebert,3,4,5,4,4,4,3,4,4,2,2,2,1,4,3,5,5,4,3,4,4,4,4,4,5,4,5,5,4,5,4,2,2,3,2
6/25/2021 22:14:14,Globe,@lal_nicholas,3,4,5,5,5,4,5,4,4,4,2,5,4,5,5,4,4,5,2,3,4,4,3,5,5,3,4,3,4,5,5,1,1,3,1
6/25/2021 22:15:01,Globe,brtrnkng,2,4,2,3,5,4,3,3,3,5,4,4,2,5,4,3,4,5,2,3,4,5,3,3,4,5,4,2,2,3,5,2,1,3,1
6/25/2021 22:15:52,Sock,@richishere_,2,5,4,3,5,5,5,4,3,4,4,2,1,4,4,5,5,4,1,3,5,5,5,5,4,4,5,5,5,5,4,2,1,4,1
6/25/2021 22:17:21,Sock,beamonarch1,5,4,4,4,4,4,3,4,3,2,1,3,3,4,1,4,5,4,2,2,4,4,4,4,3,5,4,3,3,4,5,2,1,1,1
6/25/2021 22:17:40,Globe,ac_reed01,4,5,4,5,5,2,5,2,2,5,4,2,5,5,4,2,3,5,3,1,3,5,1,4,2,4,2,3,2,5,5,3,2,3,1
6/25/2021 22:17:43,Globe,@anthonyjspecial,4,5,2,3,1,5,5,4,1,4,1,3,2,1,1,1,2,2,3,2,5,5,1,4,4,5,4,4,4,4,4,4,2,2,2
6/25/2021 22:19:06,Sock,@cjwilliams00,4,3,5,4,5,5,3,4,5,4,2,2,2,4,3,4,5,4,4,4,2,4,4,4,4,4,5,4,4,5,5,3,1,2,1
6/25/2021 22:21:16,Globe,@GeorgistSimp,5,5,4,5,5,5,5,5,1,5,2,2,4,5,4,1,4,5,2,4,5,3,2,5,4,5,5,2,3,5,5,2,2,4,1
6/25/2021 22:21:38,Both,MaxGhenis,5,5,5,5,5,4,5,2,3,5,4,5,5,5,2,1,1,5,5,1,5,3,2,5,3,4,2,2,2,4,5,3,2,4,2
6/25/2021 22:22:33,Globe,@Adammackintosh9,5,5,4,5,5,3,5,3,2,5,3,5,5,5,2,5,2,2,5,2,5,3,2,5,2,5,3,3,3,4,5,4,3,5,2
